,I-Count,Label(m0/f1)
2068,2,1
2069,4,0
2070,21,0
2071,18,1
2072,2,0
2073,11,1
2074,2,0
2075,11,0
2076,4,1
2077,2,0
2078,22,1
2079,9,1
2080,10,0
2081,52,1
2082,0,0
2083,1,1
2084,0,0
2085,1,0
2086,1,0
2087,3,0
2088,3,0
2089,0,0
2090,5,0
2091,4,0
2092,1,0
2093,2,0
2094,5,0
2095,1,1
2096,0,0
2097,18,1
2098,0,0
2099,7,0
2100,0,0
2101,0,0
2102,0,1
2103,2,0
2104,1,0
2105,28,1
2106,8,0
2107,2,0
2108,0,0
2109,1,0
2110,1,0
2111,28,1
2112,5,0
2113,3,0
2114,1,0
2115,14,1
2116,0,1
2117,1,0
2118,4,0
2119,9,0
2120,7,1
2121,1,0
2122,0,0
2123,0,1
2124,3,1
2125,22,1
